iter	Passed	Remaining
154	566	3089
155	567	3071
156	568	3053
157	569	3035
158	570	3018
159	571	3001
160	572	2982
161	573	2965
162	574	2948
163	575	2931
164	576	2916
165	577	2900
166	578	2885
167	579	2869
168	580	2854
169	581	2838
170	582	2823
171	583	2807
172	584	2792
173	585	2777
174	585	2762
175	586	2747
176	587	2732
177	588	2718
178	589	2704
179	590	2690
180	592	2678
181	593	2665
182	593	2651
183	594	2637
184	595	2624
185	596	2610
186	597	2597
187	598	2584
188	599	2571
189	600	2559
190	601	2546
191	602	2534
192	603	2521
193	604	2509
194	605	2497
195	606	2486
196	607	2475
197	608	2463
198	609	2451
199	609	2439
200	610	2428
201	611	2417
202	612	2406
203	618	2411
204	619	2402
205	621	2394
206	622	2384
207	623	2374
208	624	2364
209	627	2361
210	628	2351
211	630	2341
212	631	2331
213	631	2321
214	632	2310
215	633	2300
216	634	2290
217	636	2283
218	637	2274
219	638	2264
220	640	2256
221	641	2246
222	641	2236
223	642	2227
224	643	2217
225	644	2208
226	645	2199
227	646	2189
228	647	2180
229	648	2170
230	649	2161
231	650	2152
232	651	2144
233	652	2135
234	653	2127
235	654	2118
236	655	2109
237	656	2101
238	657	2092
239	658	2084
240	659	2076
241	660	2068
242	661	2059
243	662	2051
244	663	2043
245	664	2036
246	666	2031
247	667	2025
248	668	2017
249	670	2010
250	670	2002
251	672	1995
252	673	1987
253	674	1979
254	674	1971
255	675	1964
256	676	1956
257	677	1948
258	678	1941
259	680	1935
260	682	1931
261	683	1925
262	684	1919
263	685	1911
264	686	1904
265	687	1897
266	688	1890
267	689	1882
268	690	1876
269	691	1869
270	692	1862
271	693	1855
272	696	1855
273	697	1849
274	698	1842
275	699	1835
276	700	1829
277	701	1822
278	702	1816
279	703	1809
280	704	1802
281	705	1795
282	706	1789
283	707	1782
284	707	1775
285	709	1770
286	710	1765
287	711	1759
288	712	1753
289	713	1747
290	714	1741
291	715	1735
292	716	1729
293	717	1723
294	718	1717
295	719	1711
296	720	1705
297	721	1700
298	723	1695
299	724	1690
300	726	1687
301	727	1682
302	728	1676
303	730	1671
304	731	1666
305	732	1661
306	733	1655
307	734	1650
308	735	1644
309	736	1639
310	737	1634
311	738	1628
312	739	1623
313	740	1618
314	742	1614
315	743	1609
316	744	1604
317	745	1598
318	746	1593
319	747	1588
320	748	1583
321	749	1577
322	750	1572
323	751	1567
324	752	1562
325	754	1559
326	755	1554
327	755	1548
328	756	1543
329	757	1538
330	758	1533
331	759	1528
332	760	1523
333	761	1518
334	762	1513
335	763	1508
336	764	1503
337	765	1498
338	766	1494
339	767	1489
340	768	1485
341	769	1480
342	770	1475
343	771	1470
344	772	1466
345	773	1461
346	774	1456
347	775	1452
348	775	1447
349	776	1442
350	778	1438
351	779	1435
352	780	1431
353	782	1427
354	784	1425
355	785	1420
356	787	1417
357	788	1413
358	789	1409
359	790	1404
360	790	1400
361	791	1395
362	792	1391
363	793	1386
364	794	1382
365	795	1378
366	796	1373
367	797	1370
368	799	1366
369	800	1362
370	801	1358
371	802	1353
372	803	1349
373	803	1345
374	804	1341
375	805	1337
376	806	1332
377	807	1328
378	808	1324
379	809	1320
380	810	1316
381	811	1312
382	812	1308
383	813	1305
384	814	1301
385	815	1297
386	816	1293
387	817	1290
388	818	1286
389	820	1282
390	821	1278
391	822	1275
392	823	1271
393	824	1267
394	825	1263
395	826	1259
396	827	1256
397	828	1253
398	829	1249
399	830	1245
400	831	1242
401	832	1238
402	833	1234
403	834	1230
404	835	1226
405	836	1223
406	837	1219
407	839	1217
408	840	1213
409	840	1210
410	842	1206
411	843	1203
412	844	1200
413	845	1196
414	846	1193
415	847	1189
416	848	1186
417	849	1182
418	850	1179
419	851	1175
420	852	1172
421	853	1168
422	854	1165
423	855	1161
424	855	1158
425	857	1155
426	858	1151
427	859	1148
428	860	1144
429	861	1141
430	862	1138
431	863	1134
432	863	1131
433	864	1128
434	865	1124
435	866	1121
436	867	1118
437	868	1114
438	869	1111
439	870	1108
440	872	1105
441	873	1102
442	874	1099
443	875	1096
444	876	1093
445	877	1089
446	878	1086
447	879	1083
448	880	1080
449	881	1077
450	882	1073
451	882	1070
452	883	1067
453	884	1064
454	885	1061
